asset,type,owner_or_source,url,size,classes,format,detection_or_classification,license,availability,usefulness_to_us,verified,notes
vehicles-nepal-dataset,dataset,sdevkota007,https://github.com/sdevkota007/vehicles-nepal-dataset,4797 images,2 (two-wheeler/four-wheeler),JPG image-level,classification,none stated,public,Reference/pretrain/sanity-compare only; not detection labels,yes,Cropped from 30 Kathmandu street videos; no bounding boxes
vehicles-nepal (Kaggle mirror),dataset,sdevkota007,https://www.kaggle.com/datasets/sdevkota007/vehicles-nepal,4797 images,2,JPG,classification,none stated,public,Same as above,yes,Kaggle mirror of the GitHub set
nepli-vehicle-dataset,dataset,aryalrupesh (Kaggle),https://www.kaggle.com/datasets/aryalrupesh/nepli-vehicle-dataset,unverified,unverified,unverified,unverified,unverified,public,Possible comparison set,no,Verify provenance/labels before any use
vehicles-dataset-nepal,dataset,ishworsubedii (Kaggle),https://www.kaggle.com/datasets/ishworsubedii/vehicles-dataset-nepal,unverified,unverified,unverified,unverified,unverified,public,Possible comparison set,no,Verify provenance/labels before any use
New Nepali Dataset,dataset,Sharad Pathak (Roboflow),https://universe.roboflow.com/sharad-pathak/new-nepali-dataset,community,Nepali road signs (Nepali text),YOLO/Roboflow,detection,unknown,public,ONLY Nepali sign set found; audit then use as external test/aug,partial,Quality/size/license must be audited before reliance
Nepali ALPR / plate-char datasets,dataset,various,https://link.springer.com/chapter/10.1007/978-3-030-88244-0_9,~19663 chars / ~2000 plates,plate chars,detection+OCR,varies,mixed,public/paper,Plate sub-study reference (E6),partial,Devanagari + new embossed plates differ
Nepali-Datasets (aggregator list),resource,pemagrg1,https://github.com/pemagrg1/Nepali-Datasets,index,n/a,links,n/a,n/a,public,Find more Nepali datasets,yes,Mostly NLP; useful as a discovery index
Framework for AI-Driven Traffic Management in Kathmandu,work,ResearchGate 2024,https://www.researchgate.net/publication/392543119_Framework_for_AI-Driven_Traffic_Management_in_Kathmandu,n/a,n/a,paper,n/a,n/a,public,Cite as local motivation/related,partial,Conceptual framework; not a dataset/benchmark
Nepali ANPR (Pant 2015 / Devanagari CNN / YOLOv8-9),work,various,http://ashokpant.github.io/publications/ashok_2015_automatic.pdf,n/a,plates,paper,detection+OCR,n/a,public,Local precedent: Nepali CV is plate-only,partial,Establishes the G1 gap
IOEGC CV papers (sign-language/medical/landslide),work,IOE/TU,https://conference.ioe.edu.np/publications/ioegc16/,n/a,n/a,proceedings,n/a,n/a,public,Shows CV community exists but NOT on traffic,yes,Refine gap to "no traffic-detection CV"
IDD / DriveIndia / UVH-26 (regional comparators),dataset,India,https://arxiv.org/abs/2507.19912,10k-26k+ images,multi-class,detection,research,public,Gap-ladder precedent + methodology template,yes,India covered; Nepal slot empty
RideSafe-400 / DashCop,dataset,South Asia,https://link.springer.com/article/10.1007/s44163-025-00263-3,dashcam video,triple-riding/helmet,detection,research,public,Helmet/violation precedent (future work),partial,Dashcam; violation-focused
